id,collected_date,keyword,category,trend_score
139,20260828,monster beverage aktiensplit,beverage,3200
140,20260828,monster beverage aktie,beverage,450
141,20260828,costco key lime dessert cups,dessert,5250
142,20260828,david protein frozen dessert pints,dessert,3300
143,20260828,new nothing bundt cakes dessert,dessert,3000
144,20260828,portillo's dr pepper dessert,dessert,2900
145,20260828,publix tiktok dessert trend,dessert,2800
146,20260828,cardiologist energy drink warning,drink,900
147,20260828,limerick drink,drink,450
148,20260828,uk fast food in america,fast food,650
149,20260828,fast food restuarants,fast food,350
150,20260828,where to buy organic food,organic food,1150
151,20260828,wellhealthorganic organic food benefits,organic food,700
152,20260828,organic food delivery,organic food,300
153,20260828,aldi game day snack container,snack,15250
154,20260828,prince louis favorite snack,snack,13850
155,20260828,little debbie new snack release,snack,6950
156,20260828,shake up your snack routine,snack,6400
157,20260828,cheez-it coors light snack,snack,5200
158,20260831,silk beverage listeria settlement,beverage,25000
159,20260831,monster beverage aktiensplit,beverage,3150
160,20260831,popular beverage brand nyt,beverage,3150
161,20260831,rapid kl train food beverage policy,beverage,2300
162,20260831,faa preflight beverage restrictions,beverage,1450
163,20260831,costco key lime dessert cups,dessert,6550
164,20260831,portillo's dr pepper dessert,dessert,4450
165,20260831,dairy queen fall dessert collection,dessert,3350
166,20260831,david protein frozen dessert pints,dessert,3250
167,20260831,new nothing bundt cakes dessert,dessert,3000
168,20260831,cardiologist energy drink warning,drink,950
169,20260831,limerick drink,drink,500
170,20260831,uk fast food in america,fast food,650
171,20260831,fast food restuarants,fast food,350
172,20260831,wellhealthorganic organic food benefits,organic food,1350
173,20260831,where to buy organic food,organic food,1250
174,20260831,organic food delivery,organic food,350
175,20260831,aldi game day snack container,snack,14400
176,20260831,prince louis favorite snack,snack,13950
177,20260831,cheez-it coors light snack,snack,7950
178,20260831,little debbie new snack release,snack,6650
179,20260831,shake up your snack routine,snack,6500
180,20260903,silk beverage listeria settlement,beverage,25300
181,20260903,rapid kl train food beverage policy,beverage,4650
182,20260903,faa preflight beverage restrictions,beverage,1500
183,20260903,monster beverage aktie,beverage,400
184,20260903,costco key lime dessert cups,dessert,8850
185,20260903,dairy queen fall dessert collection,dessert,3550
186,20260903,portillo's dr pepper dessert,dessert,3300
187,20260903,david protein frozen dessert pints,dessert,3200
188,20260903,4th of july dessert ideas,dessert,2000
189,20260903,olivia rodrigo taco bell drink collaboration,drink,1500
190,20260903,rac drink driving alcolock proposal,drink,1300
191,20260903,mcdonalds redbull drink,drink,1050
192,20260903,unicorn drink starbucks,drink,1000
193,20260903,did dolly parton drink alcohol,drink,300
194,20260903,hardee's fast food industry comeback,fast food,800
195,20260903,where to buy organic food,organic food,1250
196,20260903,wellhealthorganic organic food benefits,organic food,1150
197,20260903,organic food delivery,organic food,350
198,20260903,buy organic food,organic food,300
199,20260903,aldi game day snack container,snack,15100
200,20260903,cheez-it coors light snack,snack,8200
201,20260903,little debbie new snack release,snack,6850
202,20260903,shake up your snack routine,snack,6450
203,20260903,new spicy cheetos snack flavor,snack,3300
204,20260904,faa pre-departure beverage pushback rule,beverage,1850
205,20260904,faa preflight beverage restrictions,beverage,1700
206,20260904,beverage with orange lavaburst,beverage,1650
207,20260904,monster beverage aktie,beverage,500
208,20260904,costco key lime dessert cups,dessert,9000
209,20260904,portillo's dr pepper dessert,dessert,4250
210,20260904,dairy queen fall dessert collection,dessert,4050
211,20260904,publix tiktok dessert trend,dessert,2800
212,20260904,new nothing bundt cakes dessert,dessert,2600
213,20260904,rac drink driving alcolock proposal,drink,1350
214,20260904,cardiologist energy drink warning,drink,950
215,20260904,limerick drink,drink,500
216,20260904,uk fast food in america,fast food,700
217,20260904,fast food restuarants,fast food,300
218,20260904,where to buy organic food,organic food,1250
219,20260904,wellhealthorganic organic food benefits,organic food,1100
220,20260904,organic food delivery,organic food,300
221,20260904,buy organic food,organic food,300
222,20260904,aldi game day snack container,snack,15600
223,20260904,shake up your snack routine,snack,6200
224,20260904,little debbie new snack release,snack,4500
225,20260904,cheez-it coors light snack,snack,3900
226,20260904,new spicy cheetos snack flavor,snack,3350
227,20260905,silk beverage listeria settlement,beverage,25700
228,20260905,rapid kl train food beverage policy,beverage,4800
229,20260905,monster beverage aktie,beverage,450
230,20260905,costco key lime dessert cups,dessert,8900
231,20260905,portillo's dr pepper dessert,dessert,4400
232,20260905,dairy queen fall dessert collection,dessert,3550
233,20260905,weehawken restaurant dessert mistake,dessert,2200
234,20260905,new nothing bundt cakes dessert,dessert,1850
235,20260905,rac drink driving alcolock proposal,drink,1400
236,20260905,cardiologist energy drink warning,drink,950
237,20260905,limerick drink,drink,500
238,20260905,uk fast food in america,fast food,700
239,20260905,fast food restuarants,fast food,350
240,20260905,wellhealthorganic organic food benefits,organic food,1400
241,20260905,where to buy organic food,organic food,1300
242,20260905,organic food delivery,organic food,350
243,20260905,buy organic food,organic food,300
244,20260905,aldi game day snack container,snack,15400
245,20260905,cheez-it coors light snack,snack,8100
246,20260905,little debbie new snack release,snack,7050
247,20260905,shake up your snack routine,snack,6600
248,20260905,new spicy cheetos snack flavor,snack,3300
249,20260906,silk beverage listeria settlement,beverage,25500
250,20260906,rapid kl train food beverage policy,beverage,4850
251,20260906,faa preflight beverage restrictions,beverage,1500
252,20260906,monster beverage aktie,beverage,500
253,20260906,costco key lime dessert cups,dessert,8650
254,20260906,portillo's dr pepper dessert,dessert,4450
255,20260906,dairy queen fall dessert collection,dessert,3650
256,20260906,david protein frozen dessert pints,dessert,3250
257,20260906,publix tiktok dessert trend,dessert,2800
258,20260906,rac drink driving alcolock proposal,drink,1400
259,20260906,olivia rodrigo taco bell drink collaboration,drink,1350
260,20260906,mcdonalds redbull drink,drink,1100
261,20260906,did dolly parton drink alcohol,drink,300
262,20260906,starbucks new aerocano drink debut,drink,300
263,20260906,uk fast food in america,fast food,750
264,20260906,fast food restuarants,fast food,300
265,20260906,where to buy organic food,organic food,1350
266,20260906,wellhealthorganic organic food benefits,organic food,1300
267,20260906,organic food delivery,organic food,350
268,20260906,buy organic food,organic food,300
269,20260906,aldi game day snack container,snack,15450
270,20260906,little debbie new snack release,snack,7300
271,20260906,costco september snack finds,snack,1150
272,20260906,american airlines new snack options,snack,700
273,20260906,snack shack dónde ver,snack,650
274,20260907,silk beverage listeria settlement,beverage,15350
275,20260907,rapid kl train food beverage policy,beverage,4700
276,20260907,faa preflight beverage restrictions,beverage,1500
277,20260907,monster beverage aktie,beverage,550
278,20260907,costco key lime dessert cups,dessert,8900
279,20260907,dairy queen fall dessert collection,dessert,3700
280,20260907,david protein frozen dessert pints,dessert,3400
281,20260907,portillo's dr pepper dessert,dessert,2850
282,20260907,publix tiktok dessert trend,dessert,2750
283,20260907,olivia rodrigo taco bell drink collaboration,drink,1500
284,20260907,rac drink driving alcolock proposal,drink,1350
285,20260907,mcdonalds redbull drink,drink,1300
286,20260907,did dolly parton drink alcohol,drink,350
287,20260907,uk fast food in america,fast food,650
288,20260907,fast food restuarants,fast food,350
289,20260907,where to buy organic food,organic food,1350
290,20260907,wellhealthorganic organic food benefits,organic food,1000
291,20260907,organic food delivery,organic food,350
292,20260907,buy organic food,organic food,300
293,20260907,aldi game day snack container,snack,15850
294,20260907,cheez-it coors light snack,snack,8000
295,20260907,little debbie new snack release,snack,7300
296,20260907,shake up your snack routine,snack,6500
297,20260907,new spicy cheetos snack flavor,snack,3250
298,20260908,silk beverage listeria settlement,beverage,25550
299,20260908,rapid kl train food beverage policy,beverage,4800
300,20260908,erling haaland kurze haare,beverage,1700
301,20260908,pfarrer andreas unfried oberursel,beverage,1500
302,20260908,playstation blackout,beverage,650
303,20260908,costco key lime dessert cups,dessert,8950
304,20260908,new nothing bundt cakes dessert,dessert,4900
305,20260908,portillo's dr pepper dessert,dessert,4500
306,20260908,dairy queen fall dessert collection,dessert,3550
307,20260908,david protein frozen dessert pints,dessert,3400
308,20260908,rac drink driving alcolock proposal,drink,1400
309,20260908,olivia rodrigo taco bell drink collaboration,drink,1350
310,20260908,did dolly parton drink alcohol,drink,350
311,20260908,piston cup drink cup,drink,300
312,20260908,starbucks new aerocano drink debut,drink,300
313,20260908,fast food restuarants,fast food,350
314,20260908,where to buy organic food,organic food,1400
315,20260908,wellhealthorganic organic food benefits,organic food,1200
316,20260908,organic food delivery,organic food,400
317,20260908,aldi game day snack container,snack,16450
318,20260908,little debbie new snack release,snack,7400
319,20260908,shake up your snack routine,snack,6250
320,20260908,little debbie new breakfast snack,snack,5650
321,20260908,cheez-it coors light snack,snack,5300
322,20260912,silk beverage listeria settlement,beverage,25850
323,20260912,rapid kl train food beverage policy,beverage,4750
324,20260912,monster beverage aktie,beverage,500
325,20260912,costco key lime dessert cups,dessert,9050
326,20260912,dairy queen fall dessert collection,dessert,3550
327,20260912,david protein frozen dessert pints,dessert,3400
328,20260912,portillo's dr pepper dessert,dessert,2300
329,20260912,weehawken restaurant dessert mistake,dessert,2250
330,20260912,rac drink driving alcolock proposal,drink,1400
331,20260912,cardiologist energy drink warning,drink,950
332,20260912,limerick drink,drink,500
333,20260912,fast food restuarants,fast food,350
334,20260912,where to buy organic food,organic food,1600
335,20260912,wellhealthorganic organic food benefits,organic food,1500
336,20260912,organic food delivery,organic food,350
337,20260912,buy organic food,organic food,300
338,20260912,aldi game day snack container,snack,16250
339,20260912,little debbie new breakfast snack,snack,6700
340,20260912,cheez-it coors light snack,snack,5650
341,20260912,little debbie new snack release,snack,4900
342,20260912,shake up your snack routine,snack,4300
343,20260913,silk beverage listeria settlement,beverage,25950
344,20260913,rapid kl train food beverage policy,beverage,5050
345,20260913,monster beverage aktie,beverage,550
346,20260913,costco key lime dessert cups,dessert,9100
347,20260913,portillo's dr pepper dessert,dessert,4550
348,20260913,dairy queen fall dessert collection,dessert,3600
349,20260913,david protein frozen dessert pints,dessert,2450
350,20260913,weehawken restaurant dessert mistake,dessert,2300
351,20260913,olivia rodrigo taco bell drink collaboration,drink,1450
352,20260913,rac drink driving alcolock proposal,drink,1300
353,20260913,starbucks new aerocano drink debut,drink,300
354,20260913,piston cup drink cup,drink,300
355,20260913,fast food restuarants,fast food,350
356,20260913,where to buy organic food,organic food,1600
357,20260913,wellhealthorganic organic food benefits,organic food,1300
358,20260913,buy organic food,organic food,350
359,20260913,organic food delivery,organic food,350
360,20260913,aldi game day snack container,snack,16650
361,20260913,universal theme parks snack restrictions,snack,7650
362,20260913,little debbie new snack release,snack,7450
363,20260913,shake up your snack routine,snack,6700
364,20260913,little debbie new breakfast snack,snack,4600
