week,beverage,dessert,drink,fast food,food delivery,organic food,snack,cluster,month
2023-11-19,37,90,60,57,47,6,32,0,11
2023-11-26,38,60,57,45,48,8,37,0,11
2023-12-03,36,64,57,44,53,9,47,0,12
2023-12-10,38,69,62,45,51,8,45,0,12
2023-12-17,38,85,64,45,56,7,40,0,12
2023-12-24,37,73,68,79,56,5,31,0,12
2023-12-31,37,61,72,52,56,8,38,0,12
2024-01-07,35,57,63,43,52,9,40,0,1
2024-01-14,34,60,59,39,51,9,37,0,1
2024-01-21,35,62,61,40,51,10,42,0,1
2024-01-28,37,60,63,41,48,11,42,0,1
2024-02-04,38,68,65,42,47,10,43,0,2
2024-02-11,34,65,61,42,49,10,39,0,2
2024-02-18,36,59,63,44,46,9,40,0,2
2024-02-25,36,60,57,51,49,12,39,0,2
2024-03-03,35,60,60,47,47,10,42,0,3
2024-03-10,38,68,63,49,49,9,42,0,3
2024-03-17,48,68,68,46,45,10,43,0,3
2024-03-24,36,76,68,56,44,9,39,0,3
2024-03-31,37,60,64,65,49,11,44,0,3
2024-04-07,36,61,62,54,44,10,42,0,4
2024-04-14,39,60,64,48,45,10,41,0,4
2024-04-21,39,64,68,49,45,10,43,0,4
2024-04-28,39,63,65,48,45,11,39,0,4
2024-05-05,38,66,71,47,44,9,42,0,5
2024-05-12,39,62,67,46,43,9,37,0,5
2024-05-19,44,63,72,50,44,8,40,0,5
2024-05-26,41,66,72,51,45,8,38,0,5
2024-06-02,40,59,66,51,45,8,39,0,6
2024-06-09,42,62,74,50,46,8,39,0,6
2024-06-16,41,62,70,50,45,7,37,0,6
2024-06-23,41,65,72,53,47,7,38,0,6
2024-06-30,43,75,73,54,47,8,41,0,6
2024-07-07,48,62,65,54,47,7,40,0,7
2024-07-14,38,61,69,52,43,6,38,0,7
2024-07-21,40,63,66,57,47,7,42,0,7
2024-07-28,37,61,65,56,48,8,39,0,7
2024-08-04,37,60,64,52,44,6,40,0,8
2024-08-11,38,58,66,51,42,6,41,0,8
2024-08-18,40,59,66,52,46,8,41,0,8
2024-08-25,39,58,63,50,44,9,41,0,8
2024-09-01,39,61,64,50,47,9,43,0,9
2024-09-08,38,56,61,49,38,9,45,0,9
2024-09-15,39,59,62,49,40,19,44,0,9
2024-09-22,35,55,61,50,43,9,46,0,9
2024-09-29,36,55,64,48,42,10,40,0,9
2024-10-06,34,58,61,54,42,9,39,0,10
2024-10-13,34,64,62,51,41,8,39,0,10
2024-10-20,37,60,61,51,39,9,42,0,10
2024-10-27,34,64,61,53,39,9,42,0,10
2024-11-03,32,57,55,43,38,8,38,0,11
2024-11-10,37,69,62,47,40,10,43,0,11
2024-11-17,37,75,64,48,41,11,41,0,11
2024-11-24,38,92,66,62,37,9,38,0,11
2024-12-01,36,58,61,45,42,9,59,0,12
2024-12-08,36,63,68,45,42,9,52,0,12
2024-12-15,37,75,67,46,43,8,73,0,12
2024-12-22,34,83,76,86,47,6,36,0,12
2024-12-29,37,70,78,59,51,8,44,0,12
2025-01-05,34,57,67,44,45,8,46,0,1
2025-01-12,34,60,67,44,43,10,45,0,1
2025-01-19,34,62,68,48,58,9,42,0,1
2025-01-26,37,61,69,50,49,11,46,0,1
2025-02-02,36,65,68,48,49,10,47,0,2
2025-02-09,33,68,67,46,49,10,45,0,2
2025-02-16,37,70,69,52,50,10,45,0,2
2025-02-23,36,61,67,55,47,11,49,0,2
2025-03-02,35,64,67,55,43,11,49,0,3
2025-03-09,34,68,71,54,39,10,46,0,3
2025-03-16,38,71,73,58,40,9,45,0,3
2025-03-23,38,68,68,55,43,10,44,0,3
2025-03-30,38,66,68,54,44,10,45,0,3
2025-04-06,38,67,67,55,42,10,47,0,4
2025-04-13,37,82,70,58,41,10,47,0,4
2025-04-20,39,64,69,59,46,10,44,0,4
2025-04-27,55,65,71,54,45,12,53,0,4
2025-05-04,43,69,73,49,43,10,46,0,5
2025-05-11,41,70,73,48,40,10,45,0,5
2025-05-18,40,69,74,51,39,8,45,0,5
2025-05-25,40,70,76,54,41,8,44,0,5
2025-06-01,42,63,73,54,44,8,63,0,6
2025-06-08,44,77,75,54,46,9,52,0,6
2025-06-15,44,69,75,54,51,8,50,0,6
2025-06-22,46,69,74,57,67,8,49,0,6
2025-06-29,46,81,78,60,49,7,48,0,6
2025-07-06,46,69,78,58,89,9,100,1,7
2025-07-13,51,74,79,59,79,9,73,1,7
2025-07-20,53,73,85,63,90,10,64,1,7
2025-07-27,59,74,82,59,84,11,61,1,7
2025-08-03,52,70,78,58,71,8,56,0,8
2025-08-10,48,66,75,54,61,8,53,0,8
2025-08-17,42,62,73,58,54,8,51,0,8
2025-08-24,44,63,72,51,53,9,50,0,8
2025-08-31,43,65,72,51,52,9,52,0,8
2025-09-07,39,57,66,48,49,9,47,0,9
2025-09-14,43,62,67,49,60,10,49,0,9
2025-09-21,44,65,69,51,70,11,51,0,9
2025-09-28,39,61,68,56,58,10,48,0,9
2025-10-05,42,64,70,53,54,10,50,0,10
2025-10-12,39,71,70,53,55,9,50,0,10
2025-10-19,41,64,70,52,55,10,50,0,10
2025-10-26,42,57,69,50,59,10,47,0,10
2025-11-02,48,67,66,50,59,12,49,0,11
2025-11-09,48,73,71,52,62,12,49,0,11
2025-11-16,47,84,75,51,56,11,50,0,11
2025-11-23,46,98,71,66,55,9,44,1,11
2025-11-30,48,70,71,51,61,12,52,0,11
2025-12-07,49,79,75,53,61,11,56,0,12
2025-12-14,48,83,77,49,60,10,54,0,12
2025-12-21,46,98,82,100,63,7,43,1,12
2025-12-28,45,90,81,66,65,10,49,1,12
2026-01-04,44,67,78,53,58,11,55,0,1
2026-01-11,49,71,78,51,52,12,57,0,1
2026-01-18,48,73,78,51,58,11,58,0,1
2026-01-25,53,70,75,52,66,13,55,0,1
2026-02-01,58,78,77,54,66,14,66,1,2
2026-02-08,58,85,74,53,69,14,65,1,2
2026-02-15,65,80,80,57,71,15,61,1,2
2026-02-22,61,78,79,59,84,16,59,1,2
2026-03-01,60,71,79,56,72,16,57,1,3
2026-03-08,54,80,78,57,59,14,57,1,3
2026-03-15,57,78,84,57,61,17,57,1,3
2026-03-22,59,79,82,58,61,29,62,1,3
2026-03-29,77,100,87,64,62,67,78,1,3
2026-04-05,92,85,96,67,65,94,88,1,4
2026-04-12,100,81,100,71,62,100,95,1,4
2026-04-19,82,81,90,62,61,68,83,1,4
2026-04-26,71,76,91,55,58,49,74,1,4
2026-05-03,74,79,87,59,62,46,80,1,5
2026-05-10,81,77,88,59,63,68,86,1,5
2026-05-17,93,80,94,58,65,67,81,1,5
2026-05-24,79,83,95,62,63,39,69,1,5
2026-05-31,90,77,93,62,66,40,67,1,5
2026-06-07,90,81,96,64,69,50,80,1,6
2026-06-14,87,83,94,67,68,41,78,1,6
2026-06-21,82,84,99,66,66,37,70,1,6
2026-06-28,70,94,92,64,66,21,68,1,6
2026-07-05,65,77,86,64,64,20,62,1,7
2026-07-12,53,71,88,64,55,16,58,1,7
2026-07-19,52,70,85,64,55,12,59,1,7
2026-07-26,48,73,85,63,54,10,55,1,7
2026-08-02,47,72,84,58,53,9,57,0,8
2026-08-09,51,70,85,56,52,9,59,1,8
2026-08-16,46,68,84,53,49,9,57,0,8
2026-08-23,42,66,84,50,45,8,66,0,8
2026-08-30,40,69,80,53,46,9,55,0,8
2026-09-06,39,96,94,60,50,7,62,1,9
